0.mp3|അതിന്റെ ടിന്നിൽ തന്നെ അത് എഴുതിയിട്ടുണ്ട്
1.mp3|മറ്റൊരു പ്രധാനപ്പെട്ട കാരണം കേരളത്തിലെ സുശക്തമായ യുവജനപ്രസ്ഥാനങ്ങളാണ്.
2.mp3|വിരസ നിമിഷങ്ങൾ സരസമാക്കുവാനിവ ധാരാളമാണെനിക്കെന്നും.
3.mp3|ഗാന്ധിയേയും നെഹ്രുവിനേയും രാഷ്ട്രീയമായി പൂർണമായും വേർതിരിച്ചു കാണാനുള്ള ശ്രമങ്ങൾ ഇന്നുണ്ട്.
4.mp3|എന്തുകൊണ്ടാണു ഹിന്ദുത്വ ഗാന്ധിയെ വെടിവച്ച് കൊന്നത് എന്നതിനു വേറെ കാരണം തിരക്കണമോ?
5.mp3|പ്രായപൂർത്തിയായതും മതിയായ വിദ്യാഭ്യാസം ഉള്ളതുമായ യുവതി സ്വന്തം ഇഷ്ടപ്രകാരം മതപരിവർത്തനം ചെയ്തതാണെന്നാണ് കണ്ടെത്തിയത്.
6.mp3|അയോധ്യയിൽ പത്തൊൻപതാം നൂറ്റാണ്ടിന്റെ പകുതി മുതൽക്കെങ്കിലും ഹിന്ദു-മുസ്ലിം വർഗീയസംഘർഷങ്ങൾ ഉണ്ടായിട്ടുണ്ട്
7.mp3|അതുവഴി മാപ്പിളപ്പാട്ടിന് കേരളത്തിലുടനീളം പ്രചാരം നൽകാനും ആസ്വാദകരെ സൃഷ്ടിക്കാനും അദ്ദേഹത്തിനു കഴിഞ്ഞു.
8.mp3|താപവൈദ്യുതനിലയങ്ങൾ മാത്രമല്ല, അവയ്ക്കാവശ്യമായ ഇന്ധനമേഖലയും സ്വകാര്യവൽക്കരിച്ചതിന്റെ ഫലമാണിത്.
9.mp3|ഇന്ത്യയുടെ സാമൂഹ്യവിപ്ലവത്തിന്റെ ഗതി തന്നെ നിർണയിച്ചത് ഈ കറാച്ചി പ്രമേയമായിരുന്നുവെന്ന് കാണാം.
10.mp3|അതിനു വേണ്ടി ഇതിലെ സങ്കീർണതകൾ പരമാവധി കുറയ്ക്കാൻ കഴിയണം.
11.mp3|അന്ന് ലണ്ടനിൽ പഠിച്ചിരുന്ന മകൾ യാമിനിയാണ് പുസ്തകത്തിന്റെ ഒരു പതിപ്പ് അദ്ദേഹത്തിനു കൊടുത്തതത്രേ.
12.mp3|പ്രതിഷേധിക്കുന്നവരെ ക്രൂരമായി കൈകാര്യം ചെയ്യാനാണ് അവർക്കു ലഭിച്ച നിർദ്ദേശം.
13.mp3|എന്നാൽ ഇന്ന് കണ്ണൻ നായർ ജനപ്രതിനിധികൾക്കു പോലും ക്ലാസെടുക്കുന്ന പരിശീലകനാണ്.
14.mp3|ഭൂമധ്യരേഖയിൽ നിന്ന് വളരെ അടുത്തായിക്കിടക്കുന്നതിനാൽ കേരളത്തിൽ ഉഷ്ണമേഖലാ കാലാവസ്ഥയാണ് അനുഭവപ്പെടുന്നത്.
15.mp3|ഇന്ന് വൈകുന്നേരം വരെ ആകെ മൂന്നു കോടി ഒരു ലക്ഷത്തി എഴുന്നൂറ്റി പതിനാറ് ഡോസ് വാക്സിനാണ് നല്കിയത്.
16.mp3|കുമരകത്ത് പരിശീലനത്തിൽ പങ്കെടുത്ത ആളുകൾക്കുള്ള താമസം ഓരോ വീടുകളിൽ ആയിരുന്നു.
17.mp3|ഒരു പത്തൊമ്പതു വയസ്സുകാരനെ അഞ്ചു കൊല്ലമായി നിരീക്ഷിച്ച് നിരീക്ഷിച്ച് പഠിച്ചതിനുശേഷമാണ് അറസ്റ്റ്
18.mp3|പിന്നേയും നാലു കൊല്ലം കഴിഞ്ഞാണു ബ്രിട്ടണിൽ സ്ത്രീകൾക്ക് വോട്ടവകാശം കിട്ടുന്നത് എന്നോർക്കണം.
19.mp3|അന്നു തന്നെ ഹൈ റിസ്കിലുള്ളവരെ മെഡിക്കൽ കോളേജ് ഐസൊലേഷൻ വാർഡിലേക്ക് മാറ്റി.
